Discipline,Students_wo_w_Disabilities_Male_Number,Students_wo_w_Disabilities_Male_Percent,Students_wo_w_Disabilities_Female_Number,Students_wo_w_Disabilities_Female_Percent,Section504_Male_Number,Section504_Male_Percent,Section504_Female_Number,Section504_Female_Percent,IDEA_Male_Number,IDEA_Male_Percent,IDEA_Female_Number,IDEA_Female_Percent,Race_AmericanIndian_Male_Number,Race_AmericanIndian_Male_Percent,Race_AmericanIndian_Female_Number,Race_AmericanIndian_Female_Percent,Race_Asian_Male_Number,Race_Asian_Male_Percent,Race_Asian_Female_Number,Race_Asian_Female_Percent,Race_Hispanic_Male_Number,Race_Hispanic_Male_Percent,Race_Hispanic_Female_Number,Race_Hispanic_Female_Percent,Race_Black_Male_Number,Race_Black_Male_Percent,Race_Black_Female_Number,Race_Black_Female_Percent,Race_White_Male_Number,Race_White_Male_Percent,Race_White_Female_Number,Race_White_Female_Percent,Race_NativeHawaiian_Male_Number,Race_NativeHawaiian_Male_Percent,Race_NativeHawaiian_Female_Number,Race_NativeHawaiian_Female_Percent,Race_TwoOrMore_Male_Number,Race_TwoOrMore_Male_Percent,Race_TwoOrMore_Female_Number,Race_TwoOrMore_Female_Percent,ELL_Male_Number,ELL_Male_Percent,ELL_Female_Number,ELL_Female_Percent
Corporal punishment,871,78,242,21,0,0,0,0,0,0,7,0,23,2,839,75,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,100
One or more in-school suspensions,47272,68,22157,31,361,0,117,0,46911,67,5701,0,191,0,1577,2,80908,12,34963,50,2700,0,1188,1,804,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1417,100
Only one out-of-school suspension,16120,69,7147,30,139,0,40,0,15981,68,150,0,72,0,495,2,3551,15,11503,49,40,0,341,1,266,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1417,100
More than one out-of-school suspension,26070,70,3640,26,224,0,18,0,25846,70,26,0,100,0,778,2,6280,17,18054,49,7,0,601,1,404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1417,100
One or more out-of-school suspensions,10772,29,7147,30,58,0,40,0,10714,29,18,0,26,0,325,0,3376,9,6652,18,4,0,313,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1417,100
Expulsions with educational services,162,77,47,22,0,0,0,0,0,0,6,2,18,8,134,64,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1417,100,417,100
Expulsions without educational services,42,82,9,17,0,0,0,0,0,0,0,0,9,17,29,56,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1417,100,1417,100
Expulsions with or without educational services,200,78,54,21,0,0,0,0,0,0,8,3,33,13,207,81,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1417,100,1417,100
Expulsions under zero-tolerance policies,39,73,14,26,0,0,0,0,0,0,3,3,4,7,33,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1417,100,1417,100
Referral to law enforcement,2102,71,827,28,0,0,0,0,0,0,7,0,23,2,839,75,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1417,100,1417,100
School-related arrests,517,74,178,25,0,0,0,0,0,0,15,2,54,7,139,20,357,51,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1417,100,1417,100
