State,Total Students,American Indian or Alaska Native Number,American Indian or Alaska Native Percent,Asian Number,Asian Percent,Hispanic or Latino of any race Number,Hispanic or Latino of any race Percent,Black or African American Number,Black or African American Percent,White Number,White Percent,Native Hawaiian or Other Pacific Islander Number,Native Hawaiian or Other Pacific Islander Percent,Two or more races Number,Two or more races Percent,Students With Disabilities Served Under IDEA Number,Students With Disabilities Served Under IDEA Percent,Students With Disabilities Served Only Under Section 504 Number,Students With Disabilities Served Only Under Section 504 Percent,English Language Learners Number,English Language Learners Percent,Number of Schools,Percent of Schools Reporting
United States,43705,677,1.5,873,2,9663,22.1,7817,17.9,22784,52.1,153,0.4,1738,4,6337,14.5,665,1.5,2788,6.4,96360,99.5
Alabama,581,4,0.7,1,0.2,13,2.2,275,47.3,282,48.5,0,0,6,1,36,6.2,0,0,5,0.9,1400,100
Alaska,38,22,57.9,0,0,0,0,0,0,16,42.1,0,0,0,0,2,5.3,0,0,3,7.9,503,100
Arizona,957,56,5.9,9,0.9,460,48.1,70,7.3,320,33.4,7,0.7,35,3.7,82,8.6,5,0.5,56,5.9,1977,99.7
Arkansas,573,4,0.7,5,0.9,33,5.8,180,31.4,339,59.2,0,0,12,2.1,58,10.1,26,4.5,12,2.1,"1,092",99.9
California,"5,759",39,0.7,238,4.1,"2,926",50.8,600,10.4,"1,312",22.8,18,0.3,626,10.9,894,15.5,82,1.4,"1,079",18.7,"10,138",99.6
Colorado,446,6,1.3,3,0.7,122,27.4,26,5.8,268,60.1,4,0.9,17,3.8,43,9.6,10,2.2,42,9.4,"1,868",89.6
Connecticut,430,2,0.5,10,2.3,90,20.9,78,18.1,238,55.3,0,0,12,2.8,62,14.4,11,2.6,16,3.7,"1,238",100
Delaware,101,1,1,0,0,16,15.8,40,39.6,42,41.6,0,0,2,2,26,25.7,0,0,4,4,235,100
District of Columbia,97,0,0,0,0,15,15.5,77,79.4,3,3.1,0,0,2,2.1,19,19.6,1,1,10,10.3,221,100
Florida,23,0,0,0,0,6,26.1,8,34.8,7,30.4,0,0,2,8.7,4,17.4,1,4.3,0,0,"3,952",100
Georgia,770,0,0,8,1,62,8.1,347,45.1,338,43.9,0,0,15,1.9,56,7.3,13,1.7,15,1.9,"2,407",100
Hawaii,126,1,0.8,29,23,11,8.7,2,1.6,18,14.3,54,42.9,11,8.7,26,20.6,3,2.4,25,19.8,290,100
Idaho,215,7,3.3,0,0,43,20,3,1.4,160,74.4,0,0,2,0.9,10,4.7,9,4.2,2,0.9,720,100
Illinois,"2,046",4,0.2,18,0.9,370,18.1,411,20.1,"1,157",56.5,0,0,86,4.2,304,14.9,32,1.6,87,4.3,"4,081",99.7
Indiana,937,0,0,4,0.4,102,10.9,217,23.2,555,59.2,0,0,59,6.3,126,13.4,7,0.7,37,3.9,"1,879",100
Iowa,546,1,0.2,3,0.5,28,5.1,22,4,474,86.8,0,0,18,3.3,46,8.4,10,1.8,15,2.7,"1,365",100
Kansas,778,3,0.4,10,1.3,150,19.3,78,10,484,62.2,2,0.3,51,6.6,79,10.2,7,0.9,71,9.1,"1,356",100
Kentucky,431,0,0,3,0.7,24,5.6,96,22.3,281,65.2,1,0.2,26,6,63,14.6,7,1.6,11,2.6,"1,407",100
