State,Total Students,American Indian or Alaska Native Number,American Indian or Alaska Native Percent,Asian Number,Asian Percent,Hispanic or Latino of any race Number,Hispanic or Latino of any race Percent,Black or African American Number,Black or African American Percent,White Number,White Percent,Native Hawaiian or Other Pacific Islander Number,Native Hawaiian or Other Pacific Islander Percent,Two or more races Number,Two or more races Percent,Students With Disabilities Served Under IDEA Number,Students With Disabilities Served Under IDEA Percent,Students With Disabilities Served Only Under Section 504 Number,Students With Disabilities Served Only Under Section 504 Percent,English Language Learners Number,English Language Learners Percent,Number of Schools,Percent of Schools Reporting
Alabama,1065,0,0,01-Mar,0.2,12,1.1,440,41.3,597,56.1,0,0,14,1.3,736,69.1,12,1.1,4,0.4,1432,100
Alaska,110,44,40,0,0,01-Mar,1.8,4,3.6,54,49.1,01-Mar,1.8,4,3.6,83,75.5,0,0,4,3.6,493,100
Arizona,849,64,7.5,8,0.9,193,22.7,108,12.7,444,52.3,6,0.7,26,3.1,679,80,4,0.5,17,2,1920,99.8
Arkansas,371 ,0 ,0.0 ,4 ,1.1 ,23 ,6.2 ,139 ,37.5 ,197 ,53.1 ,1-3 ,0.5 ,6 ,1.6 ,145 ,39.1 ,4 ,1.1 ,1-3 ,0.5 ,"1,097",100.0 
California,"1,824 ",14 ,0.8 ,84 ,4.6 ,589 ,32.3 ,318 ,17.4 ,745 ,40.8 ,16 ,0.9 ,58 ,3.2 ,"1,482 ",81.3 ,6 ,0.3 ,162 ,8.9 ,"9,866",99.9 
Colorado,457 ,4 ,0.9 ,4 ,0.9 ,121 ,26.5 ,59 ,12.9 ,241 ,52.7 ,1-3 ,0.4 ,26 ,5.7 ,318 ,69.6 ,0 ,0.0 ,22 ,4.8 ,"1,811",100.0 
Connecticut,"1,242 ",4 ,0.3 ,16 ,1.3 ,236 ,19.0 ,309 ,24.9 ,646 ,52.0 ,0 ,0.0 ,31 ,2.5 ,"1,040 ",83.7 ,8 ,0.6 ,12 ,1.0 ,"1,122",100.0 
Delaware,82 ,0 ,0.0 ,4 ,4.9 ,9 ,11.0 ,30 ,36.6 ,35 ,42.7 ,0 ,0.0 ,4 ,4.9 ,74 ,90.2 ,0 ,0.0 ,1-3 ,2.4 ,232,100.0 
District of Columbia,79 ,0 ,0.0 ,0 ,0.0 ,1-3 ,2.5 ,77 ,97.5 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,56 ,70.9 ,0 ,0.0 ,0 ,0.0 ,211,99.5 
Florida,"3,861 ",16 ,0.4 ,22 ,0.6 ,132 ,3.4 ,"1,339 ",34.7 ,"2,132 ",55.2 ,4 ,0.1 ,216 ,5.6 ,"3,712 ",96.1 ,0 ,0.0 ,4 ,0.1 ,"3,886",100.0 
